Location ID,--None--,BSTK (Stock- w/ Defects or Incomplete),CCSR (Consigned Scrap),CINS (Consigned Inspection),CLM (Claims Evaluation),CLMP (Claim Evaluation Picking Location),CONS (Consigned),HRVT (Harvest),I&O (Inbound & Outbound),Lab (Lab),LCON (Consumed by Lab),LOAN (Off Site Loaner),MIA (Misplaced),QC (Quality Control),"QCOR (Quarantine - Core, not repairable)",QUAR (Quarantine),REC (Receiving Inspection),SCRP (SCRAP),SHIP (Shipping),SHPD (Shipped to Customer),STK (Stock),VND (Vendor),VRET (Vendor Return),
--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,--None--,
BSTK (Stock- w/ Defects or Incomplete),,A/B (B-Stock),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",C-INSPECT (C-INSPECT),INBOUND CLAIM (Inbound Claims for Evaluation),LAB (Picking location - Warranty for Lab),CUSTOMER IN DOCK (Consigned),HARVEST 1 (Harvest Rack 1),INBOUND DEFECTIVE (Inbound Receiving to QUAR (Quarantine)antine),LAB (LAB)RACK01 (Lab (Lab) Rack 1),LAB (LCON),LOANER (Shipped Loaner),MIA (Item Misplaced or Mishandled),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",None,H-8-2 (QUAR (Quarantine)antine),RT-1-1 (Inbound Receiving for Inspection),PURGE (Obsolete Inventory),SHIP (SHIPPING)1 (SHIP (Shipping)ping 1),SHIPPED (Shipped to Customer),B-1-1 (Stock),VENDOR HOLDING (Vendor Location),RTV (Returned to Vendor),
CCSR (Consigned Scrap),,A-10-1 (B-Stock),SEE_NOTE (Additional Details on Inventory Item by Serial Number),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",,,CUSTOMER LAB (LAB) (Consigned),HARVEST 2 (Harvest Rack 2),IN ACTION (Inbound Action Required),MRIBAY (MRI Test Bay),LAB-DPERRI (LCON),A-5-5 (LOAN),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,H-8-3 (QUAR (Quarantine)antine),,"SFOVERRIDE (Legacy Salesforce location override, review serial number)",SHIP (SHIPPING)2 (SHIP (Shipping)ping 2),VREP (To Repair Vendor),B-1-2 (Stock),VNDR DROPSHIP (Vendor Location),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",
CINS (Consigned Inspection),,A-10-4 (BSTK),RTRN TO CUSTOMER (Return as-is to customer),SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,CUSTOMER FROM LAB (Consigned),HARVEST (Harvest),IN REPAIR (I&O),CTBAY (CT Test Bay),MAGNET ROOM (LCON),D-8-4 (LOAN),,,,H-8-4 (QUAR (Quarantine)antine),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),SHIP (SHIPPING)HOLD (SHIP (Shipping)ment Hold),A-11-8-2 (SHPD),B-1-3 (Stock),CRYOSRV (At CryoSrv),SEE_NOTE (Additional Details on Inventory Item by Serial Number),
CLM (Claims Evaluation),,A-11-1 (B-Stock),,INBOUNDCUSTOMER (Inbound Customer Property Repair Inspection Location),,,CUSTOMER SHIPPING (Consigned),HARVEST QUE (Harvest Que),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",UT-BAY (Utility Bay),SEE_NOTE (Additional Details on Inventory Item by Serial Number),E-1-4 (LOAN),,,,H-8-5 (QUAR (Quarantine)antine),,CORE SCRAP (Core Not Needed),SHIPPED (SHIP),A-3-5-15 (SHPD),B-1-4 (Stock),RECEIVING (VND),,
CLMP (Claim Evaluation Picking Location),,A-3-1 (B-Stock),,,,,INBND LAB (Customer Part To Lab (Lab)),"SFOVERRIDE (Legacy Salesforce location override, review serial number)",SEE_NOTE (Additional Details on Inventory Item by Serial Number),LAB (LAB)RACK02 (Lab (Lab) Rack 2),,E-1-5 (LOAN),,,,H-8-6 (QUAR (Quarantine)antine),,,"SFOVERRIDE (Legacy Salesforce location override, review serial number)",A-3-5-2 (SHPD),B-1-5 (Stock),RT-1-1 (VND),,
CONS (Consigned),,A-3-1-1 (B-Stock),,,,,C-DOCK (Cons C-DOCK),SEE_NOTE (Additional Details on Inventory Item by Serial Number),,LAB (LAB)RACK03 (Lab (Lab) Rack 3),,G-2-4 (LOAN),,,,H-8-7 (QUAR (Quarantine)antine),,,SEE_NOTE (Additional Details on Inventory Item by Serial Number),A-5-2 (SHPD),B-1-6 (Stock),SHIPPING (VND),,
HRVT (Harvest),,A-3-1-10 (B-Stock),,,,,"SFOVERRIDE (Legacy Salesforce location override, review serial number)",MAIN HARVEST (Main Harvest Area),,LAB (LAB)RACK04 (Lab (Lab) Rack 4),,G-3-6 (LOAN),,,,H-8-8 (QUAR (Quarantine)antine),,,SR 1 (Shipping Rack 1),A-5-4 (SHPD),B-1-7 (Stock),VREP (VND),,
I&O (Inbound & Outbound),,A-3-1-11 (B-Stock),,,,,SEE_NOTE (Additional Details on Inventory Item by Serial Number),ZZ (main harvest small rack),,RMAT (Repair Materials in Work),,INBOUNDRESTOCK (LOAN),,,,H-9-1 (QUAR (Quarantine)antine),,,SR 2 (Shipping Rack 2),AA-4 (SHPD),B-1-8 (Stock),UNKN (Unknown),,
